Контрагент,БИН,State,City,ЦБ,lat,lon
"ГУ ""Отдел образования города Аксу"" управления образования Павлодарской области",060240011479,Павлодарская область,Аксу г.,ЦБ Аксу,52.033403,76.922621
КГУ «Средняя общеобразовательная школа-гимназия имени Шапыќ Шґкин города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,970440002050,Павлодарская область,Павлодар г.,-,52.268446,76.959632
"КГУ ""Средняя общеобразовательная школа №14 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",970440002109,Павлодарская область,Павлодар г.,-,52.274128,76.973070
КГУ «Средняя общеобразовательная школа № 24 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,970440001954,Павлодарская область,Павлодар г.,-,52.255465,76.969342
КГУ «Школа - лицей имени Аманжола Шамкенова города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,980640001834,Павлодарская область,Павлодар г.,-,52.300053,76.924543
КГУ «Средняя общеобразовательная школа имени Музафара Алимбаева города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,201140000334,Павлодарская область,Павлодар г.,-,52.260906,76.952984
"КГУ ""Областной многопрофильный лицей-интернат для одаренных детей"" управления образования Павлодарской области, акимата Павлодарской области",001140002051,Павлодарская область,Павлодар г.,-,52.272723,76.975604
КГУ «Средняя общеобразовательная школа № 15 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,970440002122,Павлодарская область,Павлодар г.,-,52.267774,76.946094
"Коммунальное государственное казенное предприятие ""Специальный детский сад № 14 города Павлодара"" отдела образования города Павлодара,управления образования Павлодарской области",081040013593,Павлодарская область,Павлодар г.,-,52.295647,76.962174
"КГУ ""Средняя общеобразовательная школа №31 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",961140001409,Павлодарская область,Павлодар г.,-,52.253988,76.778792
"КГУ ""Специальный комплекс детский сад-школа-интернат № 1"" управления образования Павлодарской области, акимата Павлодарской области",980840001663,Павлодарская область,Павлодар г.,-,52.268297,76.975217
КГКП «Ясли-сад № 15 поселка Атамекен» отдела образования города Павлодара, управления образования Павлодарской области,080240010454,Павлодарская область,Павлодар г.,-,52.253988,76.778792
КГУ «Средняя общеобразовательная школа № 39 инновационного типа с гимназическими классами города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,970140001130,Павлодарская область,Павлодар г.,-,52.269295,76.948250
"КГУ ""Лицей-интернат ""БІЛІМ-ИННОВАЦИЯ"" для одаренных девочек"" управления образования Павлодарской области, акимата Павлодарской области",010940002971,Павлодарская область,Павлодар г.,-,52.272816,76.984596
КГУ «Средняя общеобразовательная профильная школа дифференцированного обучения № 17 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,970440002030,Павлодарская область,Павлодар г.,-,52.259164,76.974849
"КГУ ""Лицей-интернат ""БІЛІМ-ИННОВАЦИЯ"" для одаренных юношей"" управления образования Павлодарской области, акимата Павлодарской области",960940000704,Павлодарская область,Павлодар г.,-,52.268997,76.970735
"КГУ ""Кенжекольская средняя общеобразовательная школа города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",970440002229,Павлодарская область,Павлодар г.,-,52.185402,77.027275
"Государственное учреждение ""Областная казахская гимназия-интернат для одаренных детей имени И.Алтынсарина""",981140001402,Павлодарская область,Павлодар г.,-,52.302151,76.921830
"КГУ ""Специальная школа-интернат №4"" управления образования Павлодарской области , акимата Павлодарской области",981040000679,Павлодарская область,Павлодар г.,-,52.261750,76.953415
"Коммунальное государственное казенное предприятие ""Ясли-сад № 24 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",990540002523,Павлодарская область,Павлодар г.,-,52.288403,76.956964
"КГУ ""Средняя общеобразовательная школа №7 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",970440002308,Павлодарская область,Павлодар г.,-,52.284426,76.946633
КГУ «Средняя общеобразовательная школа № 27 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,961040001059,Павлодарская область,Павлодар г.,-,52.290728,76.977769
КГУ «Средняя общеобразовательная школа № 26 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,970440002259,Павлодарская область,Павлодар г.,-,52.253856,76.981604
"КГУ ""Средняя общеобразовательная школа №29 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",980640001557,Павлодарская область,Павлодар г.,-,52.280360,76.972244
Коммунальное государственное казенное предприятие «Ясли-сад № 34 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,990540002484,Павлодарская область,Павлодар г.,-,52.260145,76.964231
"Коммунальное государственное казенное предприятие ""Ясли-сад № 86 города Павлодара физкультурно-оздоровительный центр ""Baby Land"" отдела образования города Павлодара, управления образования Павлодарской области",990540002573,Павлодарская область,Павлодар г.,-,52.277947,76.975514
Коммунальное государственное казенное предприятие «Детская художественная школа» отдела образования города Павлодара, управления образования Павлодарской области,181240027284,Павлодарская область,Павлодар г.,-,52.295024,76.946516
"Коммунальное государственное казенное предприятие ""Ясли-сад № 111 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",990340006360,Павлодарская область,Павлодар г.,-,52.278398,76.980499
Коммунальное государственное казенное предприятие «Ясли-сад № 121 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,990340006658,Павлодарская область,Павлодар г.,-,52.253966,76.962057
"Коммунальное государственное казенное предприятие ""Ясли-сад № 96 города Павлодара - Центр гармонического развития ""Радуга"" отдела образования города Павлодара, управления образования Павлодарской области""",010840003153,Павлодарская область,Павлодар г.,-,52.289400,76.959120
КГУ «Средняя общеобразовательная школа имени Мјшћїр Жїсіп города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,980840002295,Павлодарская область,Павлодар г.,-,52.283434,76.978326
КГУ «Средняя общеобразовательная школа имени Калижана Бекхожина» отдела образования города Павлодара, управления образования Павлодарской области,961040000942,Павлодарская область,Павлодар г.,-,52.291797,77.002903
"Коммунальное государственное казенное предприятие ""Ясли-сад № 85 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",990540002850,Павлодарская область,Павлодар г.,-,52.293008,76.962515
КГУ «Детская техническая школа» отдела образования города Павлодара, управления образования Павлодарской области,990240005646,Павлодарская область,Павлодар г.,-,52.265453,76.979098
"КГУ ""Павлодарский областной центр информационных технологий"" управления образования области",060740003228,Павлодарская область,Павлодар г.,-,52.287324,76.938925
"КГУ ""Инновационный центр развития образования"" управления образования Павлодарской области",120940015064,Павлодарская область,Павлодар г.,-,52.300868,76.938602
"КГУ ""Центр (autism-центр) поддержки детей с аутизмом (расстройством аутистического спектра) ""Асыл Мирас"" управления образования Павлодарской области, акимата Павлодарской области",201140017735,Павлодарская область,Павлодар г.,-,52.277561,76.953460
"КГУ ""Областная психолого-медико-педагогическая консультация"" управления образования Павлодарской области, акимата Павлодарской области",160440010578,Павлодарская область,Павлодар г.,-,52.283787,76.943624
"КГУ ""Психолого-медико-педагогическая консультация города Павлодара"" управления образования Павлодарской области, акимата Павлодарской области",040640004239,Павлодарская область,Павлодар г.,-,52.261750,76.953415
"КГУ ""Региональный учебно-практический центр физической культуры"" управления образования Павлодарской области, акимата Павлодарской области",020240003242,Павлодарская область,Павлодар г.,-,52.266776,77.004817
"КГУ ""Областной кабинет психолого-педагогической коррекции"" управления образования Павлодарской области, акимата Павлодарской области",160440010538,Павлодарская область,Павлодар г.,-,52.261750,76.953415
"КГУ ""Психолого-медико-педагогическая консультация № 2 города Павлодара"" управления образования Павлодарской области, акимата Павлодарской области",231140026115,Павлодарская область,Павлодар г.,-,52.262003,76.958275
"КГУ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ПСИХОЛОГИЧЕСКОЙ ПОДДЕРЖКИ"" УПРАВЛЕНИЯ ОБРАЗОВАНИЯ ПАВЛОДАРСКОЙ ОБЛАСТИ, АКИМАТА ПАВЛОДАРСКОЙ ОБЛАСТИ",240840016162,Павлодарская область,Павлодар г.,-,52.288117,76.979538
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа №13 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",970440002328,Павлодарская область,Павлодар г.,-,52.262003,76.958275
КГУ «Центр поддержки детей с особыми образовательными потребностями» управления образования Павлодарской области,981240001347,Павлодарская область,Областные,-,52.994968,76.333964
"КГУ ""Детская деревня семейного типа города Павлодара"" управления образования Павлодарской области, акимата Павлодарской области",070540003976,Павлодарская область,Областные,-,52.273715,76.977948
"Коммунальное государственное учреждение ""Региональный учебно-методический центр дополнительного образования ""Ертіс дарыны"" управления образования Павлодарской области, акимата Павлодарской области",990340004255,Павлодарская область,Областные,-,52.275996,76.954206
"Коммунальное государственное учреждение ""Детский дом района Тереѕкґл"" управления образования Павлодарской области, акимата Павлодарской области",981240001367,Павлодарская область,Областные,-,53.065907,76.083424
"ГУ ""Отдел образования Павлодарского района"" управления образования Павлодарской области",970340000437,Павлодарская область,Павлодарский район,ЦБ Павлодарский район,52.360129,77.275830
"Коммунальное государственное учреждение ""Маралдинская основная общеобразовательная школа"" отдела образования Павлодарского района, управления образования Павлодарской области",981040002070,Павлодарская область,Павлодарский район,ЦБ Павлодарский район,52.234699,77.599223
"Коммунальное государственное учреждение ""Сычевская основная общеобразовательная школа"" отдела образования Павлодарского района управления образования Павлодарской области",980940003871,Павлодарская область,Павлодарский район,ЦБ Павлодарский район,52.592740,76.752678
"Коммунальное государственное учреждение ""Кенесская основная общеобразовательная школа"" отдела образования Павлодарского района, управления образования Павлодарской области",981040001835,Павлодарская область,Павлодарский район,ЦБ Павлодарский район,51.933172,77.297380
"Коммунальное государственное учреждение ""Богдановская основная общеобразовательная школа"" отдела образования Павлодарского района, управления образования Павлодарской области",981040001825,Павлодарская область,Павлодарский район,ЦБ Павлодарский район,52.622714,77.202895
"Коммунальное государственное учреждение ""Достыкская основная общеобразовательная школа"" отдела образования Павлодарского района, управления образования Павлодарской области",981040001914,Павлодарская область,Павлодарский район,ЦБ Павлодарский район,52.779238,76.650755
"Коммунальное государственное учреждение ""Аккудыкская начальная школа"" отдела образования Павлодарского района, управления образования Павлодарской области",981040001805,Павлодарская область,Павлодарский район,ЦБ Павлодарский район,52.648138,77.025146
"Коммунальное государственное учреждение ""Жамбылская начальная школа"" отдела образования Павлодарского района, управления образования Павлодарской области",171040016478,Павлодарская область,Павлодарский район,ЦБ Павлодарский район,52.498713,76.930311
"Коммунальное государственное учреждение ""Карагольская начальная школа"" отдела образования Павлодарского района, управления образования Павлодарской области",171040009702,Павлодарская область,Павлодарский район,ЦБ Павлодарский район,52.846225,76.597512
"Коммунальное государственное учреждение ""Каратогайская начальная школа"" отдела образования Павлодарского района, управления образования Павлодарской области",170640018969,Павлодарская область,Павлодарский район,ЦБ Павлодарский район,52.007554,77.191505
"Коммунальное государственное учреждение ""Коряковская начальная школа"" отдела образования Павлодарского района, управления образования Павлодарской области",171040009663,Павлодарская область,Павлодарский район,ЦБ Павлодарский район,52.410665,77.153587
"КГКП Заринский ясли-сад ""Еркежан"" отдела образования Павлодарского района, управления образования Павлодарской области.",140640023335,Павлодарская область,Павлодарский район,-,52.099491,77.103191
КГУ «Ольгинская средняя общеобразовательная школа» отдела образования Павлодарского района, управления образования Павлодарской области,981040001746,Павлодарская область,Павлодарский район,-,51.966595,77.640941
"ГККП ""Мичуринский ясли-сад"" отдела образования Павлодарского района, управления образования Павлодарской области",140640024016,Павлодарская область,Павлодарский район,-,52.501389,76.812353
"КГКП ""Ямышевский ясли-сад"" отдела образования Павлодарского района, управления образования Павлодарской области.",100840016213,Павлодарская область,Павлодарский район,-,51.917571,77.327186
КГУ «Зангарская средняя общеобразовательная школа» отдела образования Павлодарского района, управления образования Павлодарской области,980940002070,Павлодарская область,Павлодарский район,-,52.487001,77.187283
КГУ «Пресновская средняя общеобразовательная школа» отдела образования Павлодарского района, управления образования Павлодарской области,980940001469,Павлодарская область,Павлодарский район,-,52.859722,76.552461
"ГККП ""Учебно-оздоровительный центр ""Балдаурен"" отдела образования города Павлодара, управления образования Павлодарской области",170840004599,Павлодарская область,Павлодарский район,-,52.482652,76.816719
"КГКП ""Ясли-сад ""Аќ бота"" села Чернорецк"" отдела образования Павлодарского района, управления образования Павлодарской области.",100840016075,Павлодарская область,Павлодарский район,-,52.757122,76.653863
"КГКП ""Ясли-сад ""Балапан"" села Новочерноярка"" отдела образования Павлодарского района, управления образования Павлодарской области.",120840016326,Павлодарская область,Павлодарский район,-,52.539883,76.803980
КГУ «Ямышевская средняя общеобразовательная школа» отдела образования Павлодарского района, управления образования Павлодарской области,980940001508,Павлодарская область,Павлодарский район,-,51.917004,77.327348
"КГУ ""Чернорецкая средняя общеобразовательная школа №2"" отдела образования Павлодарского района, управления образования Павлодарской области",981040001260,Павлодарская область,Павлодарский район,-,52.676038,76.715892
КГУ «Чернорецкая средняя общеобразовательная школа № 1» отдела образования Павлодарского района, управления образования Павлодарской области,981040001381,Павлодарская область,Павлодарский район,-,52.757122,76.653863
КГУ «Заринская средняя общеобразовательная школа» отдела образования Павлодарского района, управления образования Павлодарской области,981040000571,Павлодарская область,Павлодарский район,-,52.099757,77.104251
КГУ «Ефремовская средняя общеобразовательная школа» отдела образования Павлодарского района, управления образования Павлодарской области,981040001924,Павлодарская область,Павлодарский район,-,52.534154,77.343042
КГУ «Черноярская средняя общеобразовательная школа» отдела образования Павлодарского района, управления образования Павлодарской области,980940001499,Павлодарская область,Павлодарский район,-,52.537632,76.807601
КГУ «Розовская средняя общеобразовательная школа» отдела образования Павлодарского района, управления образования Павлодарской области,981040001845,Павлодарская область,Павлодарский район,-,52.608558,77.429307
КГУ «Луганская средняя общеобразовательная школа» отдела образования Павлодарского района, управления образования Павлодарской области,981040001072,Павлодарская область,Павлодарский район,-,52.640445,77.333681
КГУ «Жана калинская основная общеобразовательная школа» отдела образования Павлодарского района, управления образования Павлодарской области,981040002378,Павлодарская область,Павлодарский район,-,52.625737,76.741889
КГУ «Рождественская средняя общеобразовательная школа» отдела образования Павлодарского района, управления образования Павлодарской области,981040001954,Павлодарская область,Павлодарский район,-,52.657759,77.511080
КГУ «Мичуринская средняя общеобразовательная школа» отдела образования Павлодарского района, управления образования Павлодарской области,980940001528,Павлодарская область,Павлодарский район,-,52.501389,76.812353
"КГКП ""Детская школа искусств"" отдела образования Павлодарского района, управления образования Павлодарской области",031240004651,Павлодарская область,Павлодарский район,-,52.360382,77.269703
КГУ «Кеменгерская средняя общеобразовательная школа» отдела образования Павлодарского района, управления образования Павлодарской области,980240002085,Павлодарская область,Павлодарский район,-,52.360129,77.275830
"КГКП ""Ясли-сад ""Балбґбек"" села Набережное"" отдела образования Павлодарского района, управления образования Павлодарской области.",100840016144,Павлодарская область,Павлодарский район,-,52.675148,76.712218
"КГУ ""Шакатская средняя общеобразовательная школа"" отдела образования Павлодарского района, управления образования Павлодарской области",981040001815,Павлодарская область,Павлодарский район,-,52.327630,77.311618
"КГКП ""Высший инновационный аграрный колледж ""Ertis"" управления образования Павлодарской области, акимата Павлодарской области",990240004330,Павлодарская область,Павлодарский район,-,52.359189,77.269658
"КГКП ""Розовский ясли-сад"" отдела образования Павлодарского района, управления образования Павлодарской области",990740001700,Павлодарская область,Павлодарский район,-,52.610166,77.427690
"КГКП ""Ясли-сад ""Аяла"" села Кемеѕгер"" отдела образования Павлодарского района, управления образования Павлодарской области",071040011387,Павлодарская область,Павлодарский район,-,52.360382,77.269703
"КГУ ""Центр поддержки детей, нуждающихся в специальных социальных услугах, села Шакат"" управления образования Павлодарской области",060640005716,Павлодарская область,Павлодарский район,-,52.333722,77.302986
"КГКП ""Ольгинский ясли-сад"" отдела образования Павлодарского района, управления образования Павлодарской области",020840003819,Павлодарская область,Павлодарский район,-,51.966911,77.636539
"ГУ ""Отдел образования района Аќќулы"" управления образования Павлодарской области",990440001234,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.475796,77.764504
"Коммунальное государственное учреждение ""Жамбылская средняя общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",980840001099,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.501369,77.689028
"Коммунальное государственное учреждение ""Малыбайская средняя общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",980940002506,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.642055,78.335141
"Коммунальное государственное учреждение ""Лебяжинская средняя общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",980940002020,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.464188,77.780413
"Коммунальное государственное учреждение ""Казынская средняя общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",980940002338,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.734679,78.068476
"Коммунальное государственное учреждение ""Потанинская средняя общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",980940002030,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.715498,77.531077
Коммунальное государственное учреждение «Майкарагайская средняя общеобразовательная школа» отдела образования района Аќќулы, управления образования Павлодарской области,981040002229,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.527651,78.955104
"Коммунальное государственное учреждение ""Тлектесская средняя общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",001040002454,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.809998,77.459176
"Коммунальное государственное учреждение ""Шарбактинская средняя общеобразовательная школа"" отдела образования района Аќќулы управления образования Павлодарской области",980840002156,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.393916,78.457267
"Коммунальное государственное учреждение ""Бескарагайская средняя общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",980840002384,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.373831,77.897140
"Коммунальное государственное учреждение ""Ямышевская средняя общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",980840002255,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.890907,77.376999
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени Абулкаира Баймульдина"" отдела образования района Аќќулы, управления образования Павлодарской области",980940002239,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,52.103308,77.981510
"Коммунальное государственное учреждение ""Шакинская средняя общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",980940002040,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.711239,78.993043
"Коммунальное государственное учреждение ""Зор-Октябрьская основная общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",981040001875,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.319133,78.700827
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени Бекмурата Уахатова"" отдела образования района Аќќулы, управления образования Павлодарской области",980640001646,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.527651,78.955104
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени Садуакаса Сатыбалдина"" отдела образования района Аќќулы, управления образования Павлодарской области",980640001874,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.751464,77.507316
"Коммунальное государственное учреждение ""Амангельдинская начальная общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",980840002334,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.740964,78.998556
"Коммунальное государственное учреждение ""Жабаглинская основная общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",980940002172,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.393916,78.457267
"Коммунальное государственное учреждение ""Жанатанская основная общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",980840002136,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.540201,77.640806
"Коммунальное государственное учреждение ""Казантайская основная общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",980940002010,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.688689,78.097662
"Коммунальное государственное учреждение ""Ленинская основная общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",980940002229,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.580941,77.620531
"Коммунальное государственное учреждение ""Начальная общеобразовательная школа Шамши"" отдела образования района Аќќулы, управления образования Павлодарской области",141040000901,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.671478,77.552960
"Коммунальное государственное учреждение ""Такирская основная общеобразовательная школа"" отдела образования района Аќќулы, управления образования Павлодарской области",980940002249,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,52.091828,78.062430
"Коммунальное государственное учреждение ""Основная общеобразовательная школа имени Абая"" отдела образования района Аќќулы, управления образования Павлодарской области",980940001994,Павлодарская область,район Аќќулы,ЦБ Лебяжинский,51.647538,77.580269
"Коммунальное государственное казенное предприятие ""Ясли-сад ""Болашаќ"" отдела образования района Аќќулы, управления образования Павлодарской области",050940004221,Павлодарская область,район Аќќулы,-,51.890941,77.376988
Коммунальное государственное казенное предприятие «Ясли-сад «Кїншуаќ» отдела образования района Аќќулы, управления образования Павлодарской области,080940001996,Павлодарская область,район Аќќулы,-,51.502855,77.692423
Коммунальное государственное казенное предприятие «Ясли-сад «Ќызєалдаќ» отдела образования района Аќќулы, управления образования Павлодарской области,060840005664,Павлодарская область,район Аќќулы,-,51.390409,78.291662
Коммунальное государственное казенное предприятие «Детский сад «Айгґлек» отдела образования района Аќќулы, управления образования Павлодарской области,110240002025,Павлодарская область,район Аќќулы,-,51.715498,77.531077
