Контрагент,БИН,State,City,ЦБ,lat,lon
"ГУ ""Отдел образования города Аксу"" управления образования Павлодарской области",060240011479,Павлодарская область,Аксу г.,ЦБ Аксу,52.033403,76.922621
"Коммунальное государственное учереждение ""Шадринская средняя обшеобразовательная школа"" отдела образования Баянаульского района, управления образования Павлодарской области",980740000592,Павлодарская область,Баянаульский район,ЦБ Баянаул,50.555406,74.674210
"Коммунальное государственное учреждение ""Егиндыбулакская средняя общеобразовательная школа"" отдел образовния Баянаульского района управления образования Павлодарской области",980840000497,Павлодарская область,Баянаульский район,ЦБ Баянаул,50.737922,75.311672
"КГУ ""Средняя общеобразовательная школа №2 имени Шапыка Шокина"" отдела образования Баянаульского района, управления образования Павлодарской области",980740000611,Павлодарская область,Баянаульский район,-,50.789824,75.695639
"КГУ ""Средняя общеобразовательная школа имени Мухтара Ауэзова"" отдела образования Баянаульского района, управления образования Павлодарской области",980840000526,Павлодарская область,Баянаульский район,-,51.462376,75.796565
"КГКП ""Баянауыл ауылыныѕ сјбилер баќшасы"" отдела образования Баянаульского района, управления образования Павлодарской области",110340007199,Павлодарская область,Баянаульский район,-,50.791163,75.696367
"КГКП ""Дом детского творчества"" отдела образования Баянаульского района, управления образования Павлодарской области",170640014311,Павлодарская область,Баянаульский район,-,50.795871,75.678957
"ГККП ""ОБЛАСТНОЙ УЧЕБНО-ОЗДОРОВИТЕЛЬНЫЙ ЦЕНТР ""ЖАС ДЈУРЕН"" УПРАВЛЕНИЯ ОБРАЗОВАНИЯ ПАВЛОДАРСКОЙ ОБЛАСТИ, АКИМАТА ПАВЛОДАРСКОЙ ОБЛАСТИ""",100640015911,Павлодарская область,Баянаульский район,-,50.795871,75.678957
"КГКП ""Майкаинская детская школа искусств"" отдела образования Баянаульского района, управления образования Павлодарской области",000440000330,Павлодарская область,Баянаульский район,-,51.460905,75.798999
"ГККП ""Баянаульская детская школа искусств имени Жаяу-Мусы"" отдела образования Баянаульского района,акимата Баянаульского района""",990340000528,Павлодарская область,Баянаульский район,-,50.791698,75.697094
"Коммунальное государственное учреждение ""Майкаинская средняя общеобразовательная школа №2"" отдела образования Баянаульского района, управления образования Павлодарской области",980740000572,Павлодарская область,Баянаульский район,-,51.452768,75.796637
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени Зейтына Акишева"" отдела образования Баянаульского района, управления образования Павлодарской области",980240002075,Павлодарская область,Баянаульский район,-,50.794454,75.714629
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа-интернат имени Ш.Айманова отдела"" образования Баянаульского района, управления образования Павлодарской области",091140009665,Павлодарская область,Баянаульский район,-,50.795871,75.678957
"Коммунальное государственное учреждение ""Детский сад ""Шагала"" для тубвиражных детей дошкольного возраста"" отдела образования Баянаульского района, управления образования Павлодарской области",050340007026,Павлодарская область,Баянаульский район,-,51.460580,75.792747
"КГКП ""Майќайыѕ кенті сјбилер баќшасы"" отдела образования Баянаульского района, управления образования Павлодарской области",990440002361,Павлодарская область,Баянаульский район,-,51.458711,75.796322
"ГУ ""Отдел образования Железинского района"" управления образования Павлодарской области",920240000573,Павлодарская область,Железинский район,ЦБ Железинский,53.538055,75.314834
"Коммунальное государственное учреждение ""Общеобразовательная средняя школа №1"" отдела образования Железинского района, управления образования Павлодарской области",970240003359,Павлодарская область,Железинский район,ЦБ Железинский,53.537504,75.317215
"Коммунальное государственное учреждение ""Жолтаптыкская основная общеобразовательная школа"" отдела образования Железинского района, управления образования Павлодарской области",140140000437,Павлодарская область,Железинский район,ЦБ Железинский,53.718141,76.620221
"Коммунальное государственное учреждение ""Мынкульская основная общеобразовательная школа"" отдела образования Железинского района, управления образования Павлодарской области",131240025853,Павлодарская область,Железинский район,ЦБ Железинский,53.755466,76.609109
"Коммунальное государственное учреждение ""Общеобразовательная средняя школа №2"" отдела образования Железинского района, управления образования Павлодарской области",970240003349,Павлодарская область,Железинский район,ЦБ Железинский,53.547387,75.313226
"Коммунальное государственное учреждение ""Будёновская основная общеобразовательная школа"" отдела образования Железинского района, управления образования Павлодарской области",131240025734,Павлодарская область,Железинский район,ЦБ Железинский,53.957228,76.572512
"Коммунальное государственное учреждение ""Береговая основная общеобразовательная школа"" отдела образования Железинского района, управления образования Павлодарской области",140140001287,Павлодарская область,Железинский район,ЦБ Железинский,53.590604,75.214492
"Коммунальное государственное учреждение ""Захаровская основная общеобразовательная школа"" отдела образования Железинского района, управления образования Павлодарской области",140140001306,Павлодарская область,Железинский район,ЦБ Железинский,53.576877,75.592387
"Коммунальное государственное учреждение ""Кузьминская основная общеобразовательная школа"" отдела образования Железинского района, управления образования Павлодарской области",140140001267,Павлодарская область,Железинский район,ЦБ Железинский,53.702489,75.280105
"Коммунальное государственное учреждение ""Крупская основная общеобразовательная школа"" отдела образования Железинского района, управления образования Павлодарской области",131240025625,Павлодарская область,Железинский район,ЦБ Железинский,53.894044,75.488227
"Коммунальное государственное учреждение ""Екишокская основная общеобразовательная школа"" отдела образования Железинского района, управления образования Павлодарской области",131240025962,Павлодарская область,Железинский район,ЦБ Железинский,54.099935,76.105954
